Rank,Movie Title,Opening,"% of
Total",Total Gross
1190,Pororo: The Racing Adventure,"$940,000",100.0%,"$940,000"
1193,Mary and the Witch's Flower,"$935,962",29.2%,"$3,209,631"
1194,Growing Pains,"$931,691",81.3%,"$1,145,984"
1195,Survival Family,"$926,413",54.7%,"$1,692,719"
1196,Papa (Luo shan ji dao dan ji hua),"$920,639",69.3%,"$1,329,356"
1200,The Frog Kingdom,"$920,000",35.7%,"$2,580,000"
1197,Mysterious Island 2,"$920,000",39.1%,"$2,350,000"
1199,A Moment Of Love,"$920,000",53.2%,"$1,730,000"
1198,Sammy's Adventures 2,"$920,000",54.1%,"$1,700,000"
1201,Spiny Life,"$916,460",75.2%,"$1,218,173"
1202,Urfin and His Wooden Soldiers,"$913,355",67.4%,"$1,356,066"
1203,The Beast Stalker,"$908,294",36.7%,"$2,473,015"
1204,Gulu Mermaid 2,"$907,497",54.9%,"$1,653,264"
1205,Babylon A.D.,"$906,102",73.8%,"$1,228,608"
1206,African Safari,"$890,000",98.9%,"$900,000"
1207,The Ideal City,"$880,000",100.0%,"$880,000"
1208,The Crossing (2019),"$878,457",59.4%,"$1,479,151"
1209,Zwartboek (Black Book),"$876,847",33.5%,"$2,620,617"
1210,The Door (2017),"$875,847",72.2%,"$1,213,654"
1211,Dei yuk dai sup gau tsang (Naraka 19),"$873,628",53.0%,"$1,647,884"
1212,Monkey King Reloaded,"$866,953",67.8%,"$1,278,720"
1213,Only The Brave,"$864,293",62.5%,"$1,383,937"
1214,Angry Kid (2013),"$850,000",100.0%,"$850,000"
1215,Maya the Bee Movie,"$848,685",85.1%,"$997,780"
1216,Mr. Nian,"$848,610",16.1%,"$5,256,007"
1217,Midnight Hair,"$840,000",39.6%,"$2,120,000"
1218,Campus Mystery,"$840,000",100.0%,"$840,000"
1219,Babel,"$839,164",46.3%,"$1,810,727"
1220,Skalolazka and the Latter from the Seventh Cradle,"$832,117",41.3%,"$2,016,984"
1221,I am NeZha,"$831,485",58.1%,"$1,430,427"
1222,Secret Fruit,"$829,231",71.5%,"$1,159,373"
1223,Australia,"$817,554",34.0%,"$2,402,985"
1224,My Other Home,"$816,835",61.8%,"$1,321,360"
1225,The Longest Shot,"$811,379",73.2%,"$1,108,407"
1226,Big Big Man,"$807,250",51.3%,"$1,572,519"
1227,Come Across Love,"$801,830",77.1%,"$1,039,439"
1228,Jungle Master,"$800,000",65.6%,"$1,220,000"
1229,Taxi 4,"$798,297",39.5%,"$2,023,472"
1230,Righteous Kill,"$796,597",76.7%,"$1,038,147"
1231,The Great Detective,"$794,007",68.3%,"$1,162,914"
1232,Doraemon: Nobita no shin makai daib?ken (Doraemon the Movie: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users) (2007),"$789,200",48.4%,"$1,631,483"
1233,For Love,"$784,846",6.8%,"$11,487,632"
1234,Bastille Day,"$782,589",36.4%,"$2,148,284"
1235,Po po chiu kai yan (Perfect Wedding),"$780,863",35.5%,"$2,196,804"
1236,The Road Not Taken,"$780,400",72.3%,"$1,079,373"
1237,Edge of Innocence,"$780,162",57.0%,"$1,369,687"
1238,Best Suspects,"$780,000",58.2%,"$1,340,000"
1239,Hong Kong Rescue,"$776,557",75.1%,"$1,034,623"
1240,The Devil Wears Prada,"$773,724",32.2%,"$2,401,750"
1241,Kimi to 100-kaime no koi,"$771,427",39.1%,"$1,971,020"
1242,David Loman 2,"$765,995",68.5%,"$1,118,155"
1243,Savva. Heart of the Warrior,"$761,094",45.6%,"$1,670,484"
1244,Making Family,"$757,626",77.5%,"$977,337"
1245,Prey (2007),"$755,167",34.2%,"$2,206,479"
1246,Little Door Gods (Xiao men shen),"$753,812",6.3%,"$11,902,156"
1249,Tale of the Rally,"$750,000",51.4%,"$1,460,000"
1247,My Boyfriends,"$750,000",61.5%,"$1,220,000"
1248,Campus Confidential,"$750,000",100.0%,"$750,000"
1250,The Adventures of Wei BaoBao,"$745,774",23.1%,"$3,233,185"
1251,Strangers (2017),"$744,244",30.6%,"$2,430,165"
1252,Lee Chong Wei: Rise of the Legend,"$741,664",78.2%,"$948,871"
1253,Frog Story,"$735,813",37.2%,"$1,978,239"
1254,Welcome to Beartown,"$728,950",82.9%,"$879,592"
1255,Three Little Pigs 2,"$728,860",18.6%,"$3,916,115"
1256,Chao Qiang Tai Feng (Super Typhoon),"$728,428",32.6%,"$2,236,025"
1257,Under the Bed 3,"$726,195",54.8%,"$1,325,507"
1258,Thailand's Love,"$724,150",54.9%,"$1,318,983"
1259,The Curse of Chopsticks,"$723,758",45.3%,"$1,597,463"
1260,Southpaw,"$722,844",61.9%,"$1,168,081"
1261,Fruity Robo The Great Escape,"$722,601",57.1%,"$1,264,723"
1262,Kong Fu Wing Chun,"$722,237",79.8%,"$905,223"
1263,Admisson by Guts,"$720,000",100.0%,"$720,000"
1264,Fatal Invitation,"$716,573",46.5%,"$1,539,775"
1265,Baohulu de mimi (The Secret of the Magic Gourd),"$709,648",26.0%,"$2,725,713"
1266,The Blizzard,"$706,493",40.3%,"$1,752,067"
1267,Happy Family (2017),"$702,567",75.5%,"$930,478"
1268,The Precipice Game,"$702,407",63.8%,"$1,100,481"
1269,Begin Again,"$700,000",21.7%,"$3,220,000"
1270,The Village of No Return,"$695,163",30.1%,"$2,307,393"
1271,Murder at Honeymoon Hotel,"$692,243",60.1%,"$1,151,187"
1272,Jinpa,"$684,535",45.0%,"$1,520,781"
1273,The Two Faces of January,"$680,000",100.0%,"$680,000"
1274,The Guardian,"$678,852",21.5%,"$3,157,013"
1275,Super Player,"$675,968",60.8%,"$1,112,230"
1276,The Coffin in the Mountain,"$670,000",97.1%,"$690,000"
1277,Days of Being Wild (2018 Re-Release),"$667,316",23.2%,"$2,870,940"
1278,The Lost City of Z,"$665,507",67.8%,"$981,968"
1279,Nihon chinbotsu (Sinking of Japan),"$664,602",41.6%,"$1,596,594"
1280,Calabash Brothers,"$661,633",69.1%,"$957,896"
1281,Anniversary (2015),"$660,940",35.3%,"$1,872,321"
1282,Doraemon: Nobita no ky?ry? (2006),"$660,319",24.6%,"$2,682,446"
1283,Kuroko's Basketball The Movie: Last Game,"$659,805",66.9%,"$985,710"
1284,Gao xing,"$657,635",23.7%,"$2,774,168"
1285,Hui Buh - Das Schlossgespenst,"$656,446",91.8%,"$714,796"
1286,The Children of Huang Shi,"$654,571",40.2%,"$1,627,665"
1287,Huang Cun Ke Zhan (The Deserted Inn),"$654,051",28.9%,"$2,260,958"
1288,Jin Tai Lang De Xing Fu Sheng Huo,"$650,000",78.3%,"$830,000"
1289,Sur la piste du Marsupilami,"$650,000",100.0%,"$650,000"
1290,Ultimate Hero,"$648,834",88.7%,"$731,388"
1291,Fast Track: No Limits,"$647,249",54.4%,"$1,190,456"
1292,Job Hunter (Shi Ye Sheng),"$643,678",70.2%,"$917,346"
1293,Little Lucky,"$640,731",62.2%,"$1,029,983"
1295,Welcome to the Punch,"$640,000",55.2%,"$1,160,000"
1294,The Iron Lady,"$640,000",100.0%,"$640,000"
1296,Three Changes,"$639,097",37.8%,"$1,689,967"
1297,Mr. Bean's Holiday,"$634,082",20.8%,"$3,048,163"
1299,Delhi Safari,"$630,000",49.6%,"$1,270,000"
1298,Gone (2013),"$630,000",100.0%,"$630,000"
1300,The Dreaming Man,"$629,582",76.0%,"$828,455"
1301,Godbeast Megazord: Return of Green Dragon,"$623,561",57.7%,"$1,080,518"
1302,16 Blocks,"$620,083",35.1%,"$1,765,482"
1303,What's in the Darkness (Hei chu you shen me),"$617,987",59.0%,"$1,047,648"
1304,Baahubali: The Beginning,"$616,732",55.4%,"$1,112,291"
1305,Love Bank,"$610,000",100.0%,"$610,000"
1306,The Deadly Strands,"$610,000",100.0%,"$610,000"
1307,Megan Leavey,"$607,152",59.0%,"$1,028,409"
1308,The Secret of China,"$605,171",15.2%,"$3,987,576"
1309,Ratatouille,"$602,773",21.0%,"$2,871,850"
1310,The Nursery,"$599,950",51.9%,"$1,155,756"
1311,Toys War,"$599,158",55.3%,"$1,082,496"
1312,Tai yang zhao chang sheng qi (The Sun Also Rises),"$598,023",28.1%,"$2,130,247"
1313,Coach (Trener),"$596,149",67.4%,"$884,490"
1314,Perfect Imperfection,"$593,065",88.6%,"$669,445"
1316,Alibaba and the Thief,"$590,000",25.4%,"$2,320,000"
1315,The Mortician,"$590,000",56.7%,"$1,040,000"
1317,The Hidden Land: Back To No Man's Land in Northern Tibet,"$589,739",21.7%,"$2,716,555"
1318,Chinese Wine,"$584,782",43.9%,"$1,332,514"
1319,Man jeuk (Sparrow),"$584,377",23.6%,"$2,479,761"
1320,Ozzy,"$582,355",35.0%,"$1,663,369"
1321,Gwoemul (The Host),"$580,346",31.4%,"$1,848,333"
1323,Xing yu xin yuan zhi zai ai (Fly Me to Venus),"$580,000",96.7%,"$600,000"
1322,Dead Sign,"$580,000",100.0%,"$580,000"
1324,Somebody to Love,"$578,783",88.4%,"$654,939"
1325,The Breadwinner,"$577,613",62.1%,"$929,860"
1326,Love Tactics,"$573,308",79.2%,"$724,180"
1327,Defenders,"$572,783",37.0%,"$1,549,782"
1328,Wish You Were Here (2019),"$570,216",77.3%,"$738,015"
1329,Foosball,"$570,000",100.0%,"$570,000"
1330,Monster Island,"$566,488",78.0%,"$726,371"
1331,Cold Pursuit,"$565,946",75.9%,"$745,364"
1332,Spring Returns to My Homeland,"$559,835",69.3%,"$807,862"
1333,MIN & MAX,"$557,019",62.4%,"$892,646"
1334,Lucky Star (2019),"$556,868",73.8%,"$754,827"
1335,The Underdog Knight,"$555,889",47.6%,"$1,167,457"
1336,I.T.,"$555,843",64.0%,"$868,323"
1337,Ai Qing Wei Xiu Zhan,"$555,614",55.3%,"$1,004,242"
1338,Xin zhong you gui (The Matrimony),"$554,088",39.1%,"$1,418,495"
1339,Mad World,"$553,380",41.8%,"$1,322,500"
1340,Hup yeu ching yan (Contract Lover),"$552,268",29.7%,"$1,860,515"
1341,March of the Penguins 2: The Next Step,"$551,734",71.4%,"$773,068"
1342,Bloody House,"$550,251",49.3%,"$1,115,856"
1343,Who Am I 2015,"$550,000",100.0%,"$550,000"
1344,Atonement,"$545,226",25.7%,"$2,122,170"
1346,Double Exposure,"$540,000",100.0%,"$540,000"
1345,Running All the Way,"$540,000",100.0%,"$540,000"
1347,Kak Ya Stal Russkim (How I Became Russian),"$539,840",45.8%,"$1,178,530"
1348,Masters In Forbidden City,"$535,229",57.6%,"$928,773"
1349,The Bodyguard (2016),"$534,573",66.2%,"$807,340"
1350,Yat lou yau nei (The Road Less Traveled),"$531,027",50.0%,"$1,062,441"
1351,Summer's Desire,"$523,806",48.5%,"$1,078,906"
1352,Magnificent 5,"$521,864",41.7%,"$1,251,378"
1353,An End to Killing,"$520,000",77.6%,"$670,000"
1354,Ghost Day 2: Life Is Destined,"$515,880",69.4%,"$743,377"
1355,Luo ye gui gen (Getting Home),"$513,710",30.7%,"$1,675,150"
1356,Jerry Cotton,"$512,743",100.0%,"$512,743"
1357,Closed Doors Village,"$510,000",100.0%,"$510,000"
1358,"Tonight, At The Movies","$507,020",27.7%,"$1,828,701"
1359,Zoku Shinya shokud? (Midnight Diner 2),"$506,569",24.9%,"$2,038,476"
1360,On the Balcony,"$504,863",87.4%,"$577,923"
1361,Yat kor ho ba ba (Run Papa Run),"$503,416",34.6%,"$1,455,223"
1362,Track Aduowan,"$502,914",40.7%,"$1,234,586"
1363,Beneath Hill 60,"$502,627",65.9%,"$762,265"
1364,Fear is Coming,"$501,200",56.8%,"$882,680"
1365,At Cafe Six,"$500,444",62.7%,"$798,652"
1367,The Tale from the Orient,"$500,000",100.0%,"$500,000"
1366,Midnight Microblog,"$500,000",100.0%,"$500,000"
1368,Love Trip,"$497,753",72.3%,"$688,869"
1369,Bridge to Terabithia,"$496,372",72.3%,"$686,355"
1370,Kaili Blues,"$494,049",54.7%,"$903,072"
1371,Memoirs of a Murderer,"$493,538",62.4%,"$790,588"
1372,Stolen Princess: Ruslan and Lyudmyla,"$492,792",41.6%,"$1,185,765"
1373,Enter the Forbidden City,"$492,697",23.2%,"$2,127,425"
1374,Love In Time,"$490,000",51.6%,"$950,000"
1376,Death Trip,"$490,000",100.0%,"$490,000"
1375,Bu Bu Zhui Hun,"$490,000",100.0%,"$490,000"
1377,Zai Jian Wo Men De Shi Nian,"$480,000",100.0%,"$480,000"
1378,Foodiverse,"$479,507",66.0%,"$726,371"
1379,Bleach,"$476,656",98.8%,"$482,325"
1380,Looking For Rohmer,"$475,952",76.0%,"$625,975"
1381,The Bugle From Gutian,"$472,531",11.4%,"$4,135,272"
1382,Autobahnraser,"$467,549",37.2%,"$1,255,566"
1383,Love on Lushan Mountain 2010,"$465,326",100.0%,"$465,326"
1384,Frightening Embroidery Shoes,"$463,919",54.5%,"$851,257"
1385,Die Jagd nach dem Schatz der Nibelungen,"$463,344",38.1%,"$1,215,851"
1386,Yang and His Summer,"$462,186",67.3%,"$686,594"
1387,Born To Love You,"$460,000",67.6%,"$680,000"
1388,Fall of Ming,"$460,000",100.0%,"$460,000"
1389,Justice in the Northwest,"$458,375",72.7%,"$630,896"
1390,A Nail Clipper Romance,"$458,318",69.0%,"$663,773"
1391,The Mule,"$457,626",30.4%,"$1,504,210"
1392,Santa & Cie,"$454,677",60.9%,"$746,880"
1393,The Frog Kingdom 2: Sub-Zero Mission,"$454,103",70.8%,"$641,168"
1394,Stormbreaker,"$452,682",35.6%,"$1,272,763"
1395,Four Springs,"$450,693",28.9%,"$1,561,731"
1396,Monsters,"$450,000",60.0%,"$750,000"
1397,Raid dingue,"$448,746",59.0%,"$760,819"
1398,Suburbicon,"$446,391",50.7%,"$880,805"
1399,Spicy Hot in Love,"$444,548",18.6%,"$2,385,191"
1400,I?m Liu Yue Jin,"$440,014",38.8%,"$1,135,341"
1401,Inu to watashi no 10 no yakusoku (10 Promises to My Dog),"$437,975",71.4%,"$613,344"
1402,Long nga (Legendary Assassin),"$437,796",42.9%,"$1,019,682"
1403,Bo chi tung wah (Connected),"$437,630",6.3%,"$6,953,637"
1404,Ji ri qi cheng (Set Off),"$437,630",57.6%,"$759,767"
1405,Kung Food,"$434,242",60.8%,"$714,044"
1406,Ping guo (Lost in Beijing),"$431,965",33.6%,"$1,286,914"
1407,The Grow 2,"$430,000",50.6%,"$850,000"
1408,Midnight Whisper,"$428,900",84.4%,"$508,033"
1409,The Adventures of the Ugly Duckling,"$426,829",69.3%,"$616,018"
1410,Snow in Midsummer,"$426,320",66.9%,"$637,626"
1411,Pen Fairy Impac Disc Fairy,"$425,965",99.4%,"$428,688"
1412,Yi ma de hou xian dai sheng huo (The Postmodern Life of My Aunt),"$425,587",63.4%,"$671,757"
1413,My King My Father,"$424,739",18.6%,"$2,280,212"
1414,Piggy Bingbing,"$423,431",45.4%,"$933,589"
1415,The Man with the Iron Heart,"$418,310",72.2%,"$579,674"
1416,Waste Dad,"$417,486",55.6%,"$750,479"
1417,Bong ga (Kidnap),"$417,422",50.6%,"$825,147"
1523,Becoming Jane,"$417,304",52.1%,"$800,573"
1419,Alibaba: Solomon Seal,"$415,475",45.7%,"$909,149"
1420,Replicas,"$414,205",57.0%,"$727,089"
1421,All the Way To Bloom,"$414,129",40.0%,"$1,034,133"
1423,The Blue Bone,"$410,000",100.0%,"$410,000"
1422,A Style of Men in Beijing,"$410,000",100.0%,"$410,000"
1424,Marauders,"$408,180",67.7%,"$603,269"
1425,I Want to Eat Your Pancreas (Kimi no suiz? wo tabetai),"$407,019",11.6%,"$3,510,308"
1426,Manchester by the Sea,"$404,920",34.7%,"$1,167,763"
1427,The Guest (2016),"$404,646",68.8%,"$587,873"
1428,Early Man,"$404,358",78.4%,"$516,000"
1429,Al final del t?nel,"$403,866",35.7%,"$1,131,869"
1430,Ma Xiaole and His Toys,"$403,587",36.1%,"$1,118,780"
1431,Roma (2018),"$402,602",57.5%,"$699,797"
1432,Butterfly Cemetery,"$401,767",81.6%,"$492,189"
1433,"She Remembers, He Forgets","$400,207",70.8%,"$565,192"
1434,The Incredible Truth,"$400,000",64.5%,"$620,000"
1435,The Company You Keep,"$400,000",100.0%,"$400,000"
1436,The Grudge (2017),"$399,952",45.1%,"$886,183"
1437,Mother's Revenge,"$399,434",45.8%,"$872,900"
1438,Advance Wave Upon Wave,"$399,170",13.8%,"$2,883,905"
1439,House Mania,"$396,947",100.0%,"$396,947"
1440,Hidden Love,"$392,453",57.3%,"$684,806"
1441,Neuk-dae-so-nyeon (A Werewolf Boy),"$390,000",100.0%,"$390,000"
1442,You Beautify My Life,"$389,336",75.1%,"$518,385"
1443,Shooter,"$388,149",12.0%,"$3,245,468"
1445,Sweet Heart Chocolate,"$380,000",100.0%,"$380,000"
1444,Promise Time,"$380,000",100.0%,"$380,000"
1446,Summer (2007),"$377,303","1,000.0%","$37,730"
1447,Twenty (2018),"$375,648",82.2%,"$457,137"
1448,Marriage Trap,"$375,574",71.6%,"$524,256"
1449,Tristan and Isolde,"$375,210",14.6%,"$2,569,673"
1450,17 Again (2015),"$375,090",96.7%,"$387,751"
1451,Unlocked,"$374,881","3,014.0%","$12,438"
1452,Fierce Wife: Final Episode,"$370,000",100.0%,"$370,000"
1453,Love Without Words,"$369,947",9.9%,"$3,741,863"
1454,Ben-Hur (2016),"$365,620",14.2%,"$2,573,312"
1455,Only the Wind Knows,"$363,035",27.9%,"$1,302,670"
1456,Heist (2015),"$363,017",75.2%,"$482,729"
1457,Lost in the Moonlight,"$360,297",65.8%,"$547,683"
1458,"10,000 Miles","$359,686",70.7%,"$508,820"
1459,The Wages of Sin,"$358,786",100.0%,"$358,786"
1460,The Bride With Painted Skin,"$357,780",55.4%,"$645,256"
1461,The Third Murder,"$357,693",451.2%,"$79,277"
1462,Nao Zai Wan Zhong,"$355,626",60.5%,"$587,839"
1463,Space Panda 3,"$352,767",16.6%,"$2,124,913"
1464,Vier gegen die Bank,"$350,604",66.9%,"$523,705"
1465,Shining Soul,"$350,000",46.7%,"$750,000"
1466,Penguin Highway,"$347,215",73.9%,"$469,887"
1467,Arthur et les Minimoys (Arthur and the Invisibles),"$346,754",21.9%,"$1,584,949"
1468,Palace of the Damned,"$345,914",63.2%,"$547,134"
1469,The Secret of S,"$345,589",51.4%,"$672,565"
1470,Foolish Plan,"$344,282",53.3%,"$646,105"
1471,Soul Story (2015),"$344,259",59.7%,"$576,472"
1472,The Weird Doll,"$343,898",47.1%,"$730,261"
1473,Chung oi (In Love with the Dead),"$343,761",40.7%,"$844,583"
1474,Zhe Yang Yi Wei Jiang Jun,"$338,983",60.5%,"$560,328"
1475,"The Old Man, Child and Foreigner","$337,435",61.4%,"$549,493"
1476,Memento Mori,"$335,983",64.2%,"$522,976"
1477,Ast?rix aux jeux olympiques,"$335,517",47.8%,"$701,510"
1478,Do Not Miss It,"$332,666",43.7%,"$761,348"
1479,Eddie the Eagle,"$332,419",34.3%,"$970,358"
1480,The Weird Bride,"$331,446",57.3%,"$578,152"
1481,Qian Ting Zong Dong Yuan,"$330,816",76.2%,"$433,971"
1482,Bell Chamber,"$330,586",54.6%,"$605,757"
1483,Money and Love,"$329,555",100.0%,"$329,555"
1484,My Dear Elephant,"$329,495",87.4%,"$376,898"
1485,Game of Death (2016),"$328,690",39.8%,"$825,882"
1486,Mamma Mia: Here We Go Again!,"$324,755",54.0%,"$601,894"
1487,Click,"$323,457",23.3%,"$1,387,909"
1488,Pure Hearts: Into Chinese Showbiz,"$323,364",87.7%,"$368,543"
1489,Poor Rich Dad,"$323,282",38.9%,"$831,655"
1490,Puppy Love,"$323,021",77.6%,"$416,454"
1491,The Death Note,"$321,805",61.5%,"$523,354"
1492,Duo Biao (Champions),"$321,191",48.8%,"$658,443"
1493,Super Bear,"$320,565",58.7%,"$545,822"
1494,Black Mirror,"$320,000",100.0%,"$320,000"
1495,Leun yan sui yu (Lover's Discourse),"$318,616",57.1%,"$558,187"
1496,The Pursuit of Happyness,"$316,260",37.3%,"$848,578"
1497,The Whisper,"$315,510",52.7%,"$599,101"
1498,Haunted Sisters,"$313,382",46.3%,"$677,053"
1499,Hu Wang Gui Lai,"$313,222",42.2%,"$743,020"
1500,Judge Archer,"$312,034",48.9%,"$637,482"
1501,The Great Escape of 3S Ladies,"$308,308",63.8%,"$483,331"
1502,L'arnacoeur (Heartbreaker),"$307,840",100.0%,"$307,840"
1503,The 8-Year Engagement,"$306,076",71.2%,"$430,143"
1504,World Second,"$306,014",100.0%,"$306,014"
1505,Monster Mayhem,"$300,338",20.6%,"$1,459,015"
1506,Flowers and Songs,"$299,928",57.5%,"$521,939"
1507,Greenwood Adventure 2,"$297,349",41.0%,"$725,817"
1508,Armor Hero Captor King,"$297,251",10.8%,"$2,740,076"
1509,A Dream Ring,"$291,615",64.9%,"$449,039"
1510,Crosscurrent (Chang jiang tu),"$291,037",60.0%,"$484,727"
1511,Another Woman (2016),"$288,302",100.0%,"$288,422"
1512,Deadly Delicious,"$287,925",27.1%,"$1,060,921"
1513,Red Cheongsam,"$284,837",84.2%,"$338,127"
1514,20:16,"$283,834",39.3%,"$722,765"
1515,Startups,"$283,380",23.7%,"$1,196,360"
1516,The Ghost in the Well,"$283,152",35.9%,"$787,747"
1517,Apparition (2016),"$282,011",3.9%,"$7,312,653"
1518,The Legend of Muay Thai: 9 Satra,"$281,151",75.2%,"$374,051"
1519,Antigang,"$280,515",77.2%,"$363,284"
1520,I Want You,"$280,000",100.0%,"$280,000"
1521,Final Recipe,"$279,235",99.6%,"$280,437"
1522,Fight For Love,"$278,235",82.4%,"$337,786"
1523,Becoming Jane,"$277,701",34.7%,"$800,573"
1524,Shrek the Third,"$277,118",28.2%,"$982,214"
1525,Benji (2018),"$275,758",47.1%,"$585,333"
1526,Hu die fei (Linger),"$275,009",30.1%,"$913,811"
1527,Jian Shi Chu Ji (Sky Fighters / Lock Destination),"$274,160",100.0%,"$274,160"
1528,Happy Life of Yang Guang,"$270,000",100.0%,"$270,000"
1529,Sun yat fai lok (Happy Birthday),"$269,698",41.9%,"$644,288"
1530,Super Four,"$268,002",49.2%,"$544,914"
1531,Plastic Surgeon ? Hunted Face,"$267,102",71.7%,"$372,581"
1532,The Elephant Lin Wang,"$266,240",52.6%,"$506,150"
1533,Red Start,"$266,099",100.0%,"$266,099"
1534,Horrible Masion In Wild Village,"$265,613",52.6%,"$505,203"
1535,2:22,"$264,810",74.5%,"$355,375"
1536,Hei wong ji wong (Simply Actors),"$264,736",40.7%,"$651,180"
1537,Mr. No Problem,"$263,458",22.6%,"$1,164,932"
1538,Step Up 2 the Streets,"$262,678",45.2%,"$581,378"
1539,To Love or Not To Love,"$260,095",82.2%,"$316,528"
1540,Gambler Husband Vs. Gambler Wife,"$260,000",78.8%,"$330,000"
1541,Weeds On Fire,"$259,807",48.5%,"$536,012"
1542,Have a Nice Day (Hao Ji Le),"$259,427",63.4%,"$409,431"
1543,Midnight Ghost,"$258,870",54.5%,"$475,322"
1544,Chin do (Ex),"$257,927",43.6%,"$591,932"
1545,Girls Generation,"$257,650",100.0%,"$257,650"
1546,Insomnia Lover,"$257,054",79.8%,"$322,075"
1547,Men (The Door),"$256,855",36.2%,"$708,717"
1548,Nan cai nu mao,"$256,171",100.0%,"$256,171"
1549,Spirit Touch Seventh Senses,"$255,764",61.4%,"$416,698"
1550,Keeping Up with the Joneses,"$255,226",14.8%,"$1,723,895"
1551,Pali Road,"$254,061",99.2%,"$256,229"
1552,Lumi?re Amoureuse,"$252,020",84.0%,"$300,158"
1553,Lost (2013),"$250,000",100.0%,"$250,000"
1554,The Haunted Graduation Photo,"$248,544",56.5%,"$439,839"
1555,Pretty Princess,"$246,798",79.0%,"$312,295"
1556,Shark Bait (a.k.a. The Reef),"$245,035",25.6%,"$955,961"
1557,Triple 9,"$244,704",25.9%,"$944,264"
1558,Strange Battle,"$238,457",46.4%,"$514,112"
1559,Ghost Bride,"$238,036",42.6%,"$558,953"
1560,Brave Rabbit3 The Crazy Time Machine,"$237,587",33.6%,"$706,619"
1561,Song of the Phoenix,"$236,793",1.8%,"$13,075,926"
1562,Yoru no shanghai (The Longest Night in Shanghai),"$236,112",51.9%,"$455,157"
1563,Happy Little Submarine 5 - Magic Box of Time,"$236,000",3.5%,"$6,787,300"
1564,Princess and the Kingdom,"$235,965",23.1%,"$1,021,930"
1565,Beyond the Clouds (2018),"$234,849",90.3%,"$260,114"
1566,Vinci,"$233,757",8.1%,"$2,891,421"
1567,Kang ding qing se,"$233,222",15.5%,"$1,504,560"
1568,Open Fire,"$232,792",67.2%,"$346,515"
1569,The King of Football,"$228,295",88.9%,"$256,787"
1570,G.E.M.: G-Force,"$227,178",47.7%,"$476,613"
1571,The Family Running Forward,"$226,675",98.4%,"$230,475"
1572,Black Sea,"$224,546",71.8%,"$312,686"
1573,Think Big Big,"$224,282",79.6%,"$281,918"
1574,The Road to Hippie,"$223,188",100.0%,"$223,188"
1575,Ghost (2016),"$222,689",48.5%,"$459,179"
1576,Our Graduation,"$222,072",50.8%,"$437,086"
1577,Ghost Hospital,"$221,230",31.5%,"$702,276"
1578,Richard the Stork,"$220,103",62.3%,"$353,297"
1579,Lost in Wrestling,"$220,000",100.0%,"$220,000"
1580,Flavors of Youth,"$219,525",53.8%,"$408,244"
1581,No Reservations,"$218,601",12.1%,"$1,808,318"
1582,Midnight Melody,"$215,861",49.5%,"$435,861"
1583,"Good Luck, Dad","$215,683",81.8%,"$263,814"
1584,Golden Doll,"$215,262",43.4%,"$495,742"
1585,Mak Dau Dong Dong Poon Ngo Sum,"$214,970",3.0%,"$7,093,313"
1586,Hello Life,"$212,140",30.6%,"$693,523"
1587,Disc Fairy,"$209,551",48.8%,"$429,028"
1588,Baciami ancora (Kiss Me Again),"$208,873",47.8%,"$437,134"
1589,Wang Mao,"$208,341",53.2%,"$391,730"
1590,Escape Route,"$208,074",60.2%,"$345,604"
1591,Brother of the Year,"$206,980",79.2%,"$261,337"
1592,Ming Ming,"$206,943",37.0%,"$559,415"
1593,Soul Contract,"$206,596",54.2%,"$381,071"
1594,Love Only,"$205,141",97.8%,"$209,711"
1595,House of the Rising Son,"$204,691",73.0%,"$280,417"
1596,Wo de qing chun qi (My Original Dream),"$204,280",12.2%,"$1,671,957"
1597,Encounter Evil,"$203,498",59.6%,"$341,673"
1598,Youth Dinner,"$200,543",60.3%,"$332,596"
1599,Singing When We Are Young,"$200,000",100.0%,"$200,000"
1600,Dragon Warrior: Compass of Astral Seal,"$199,340",21.3%,"$936,612"
1601,The Journey Home,"$198,200",58.5%,"$338,690"
1602,Easy Life (Xi le chang an),"$198,053",100.0%,"$198,053"
1603,Warrior,"$196,760",100.0%,"$196,760"
1604,Bicycle Boy 2,"$196,638",45.0%,"$436,810"
1605,"Daddy, Be With Me","$194,774",73.8%,"$263,745"
1606,Paintedskin: The Double Mask,"$194,033",41.4%,"$468,683"
1607,Jackie,"$193,270",59.1%,"$326,752"
1608,All My Goodness,"$192,056",72.8%,"$263,728"
1609,Fake Guardians,"$191,996",68.8%,"$278,865"
1610,Ghost in Barber's,"$190,321",27.9%,"$683,146"
1611,Two Stupid Eggs,"$189,831",23.3%,"$813,559"
1612,Chan mat (Claustraphobia),"$189,781",43.2%,"$438,808"
1613,Horror Bathroom,"$189,708",51.6%,"$367,754"
1614,Four Warriors,"$187,991",53.3%,"$352,657"
1615,Patrick,"$185,620",56.7%,"$327,645"
1616,Taken,"$185,341",9.1%,"$2,037,062"
1617,Who is Crying at Midnight,"$185,050",99.8%,"$185,379"
1618,King of Forest,"$184,827",54.6%,"$338,690"
1619,Snow White and the Three Little Pigs,"$184,115",72.1%,"$255,261"
1620,Nessun Dorma (Hung sau wan mei seui),"$183,434",60.5%,"$303,338"
1621,Lo kong ching chuen (Mr. Cinema),"$183,366",34.9%,"$525,555"
